,Country,Homicide and related offences,Acts intended to cause injury,Sexual assault and related offences,Dangerous or negligent acts endangering persons,"Abduction, harassment and other offences against the person","Robbery, extortion and related offences",Unlawful entry with intent,Theft and related offences,"Fraud, deception and related offences",Illicit drug offences,Prohibited and regulated weapons and explosives offences,Property damage and environmental pollution,Public order offences,Traffic and vehicle regulatory offences,"Offences against justice procedures, gov't security and operations",Miscellaneous offences,Total,prop_total,country
0,Australia,2540,8634,4482,1546,500,2638,3771,1322,714,4130,742,520,167,500,2890,42,35228,82.92,AU
1,New Zealand,88,269,148,48,15,124,90,30,23,188,17,8,6,11,32,0,1107,2.61,AU
2,Vietnam,42,39,17,4,0,16,20,37,8,668,6,6,0,3,31,4,904,2.13,AU
3,United Kingdom,90,61,194,15,5,27,28,14,22,112,3,7,3,3,21,3,621,1.46,AU
4,China,39,21,33,0,4,3,9,8,9,184,0,0,0,0,10,6,334,0.79,AU
5,Sudan,20,78,30,5,0,43,28,3,5,3,0,3,0,3,11,0,240,0.56,AU
6,Lebanon,10,45,30,0,6,6,15,7,11,71,10,3,3,3,26,0,240,0.56,AU
7,Malaysia,8,8,18,0,0,3,0,11,8,107,0,0,0,0,0,3,175,0.41,AU
8,Iraq,22,21,13,4,6,17,7,0,10,35,4,3,0,0,21,0,157,0.37,AU
9,Fiji,5,39,26,4,3,9,9,11,10,18,0,0,0,4,10,0,143,0.34,AU
10,India,19,14,47,5,3,0,10,0,13,17,0,0,0,0,8,0,135,0.32,AU
11,Other,318,452,528,64,33,180,160,114,104,930,47,29,23,35,154,23,3198,7.53,AU
