,Year,01 Homicide and related offences,011 Murder,012 Attempted Murder,013 Manslaughter and driving causing death,02 Acts intended to cause injury,021 Assault,029 Other acts intended to cause injury,03 Sexual assault and related offences,031 Sexual assault,032 Non–assaultive sexual offences,04 Dangerous/negligent acts,05 Abduction/harassment,06 Robbery/extortion,07 Unlawful entry with intent,08 Theft,081 Motor vehicle theft,082 Theft (except motor vehicles),083 Receive or handle proceeds of crime,09 Fraud/deception,091 Obtain benefit by deception,092 Forgery and counterfeiting,093 Deceptive business/government practices,099 Other fraud and deception offences,10 Illicit drug offences,102 Deal or traffic in illicit drugs,103 Manufacture or cultivate illicit drugs,104 Possess and/or use illicit drugs,11 Weapons/explosives,12 Property damage and environmental pollution,13 Public order offences,131 Disorderly conduct,132 Regulated public order offences,133 Offensive conduct,15 Offences against justice,153 Breach of violence and non-violence orders,156 Offences against justice procedures,16 Miscellaneous offences,Total,country
12,2008–09,4.4,1.7,1.2,1.4,384.9,369.6,14.6,33.9,26.6,7.3,9.0,19.2,20.9,84.8,314.8,29.0,257.4,22.9,54.1,38.8,4.1,1.4,9.4,300.7,39.0,31.6,199.7,47.9,117.2,352.2,157.2,110.1,84.5,139.9,39.2,80.9,90.6,2005.7,AU
13,2009–10,4.6,1.7,1.2,1.7,379.0,362.2,16.2,33.6,25.6,8.0,9.6,20.7,21.3,81.9,337.6,27.4,282.1,23.0,50.6,36.6,3.3,1.3,8.9,303.6,37.0,34.5,199.5,45.4,110.5,394.3,163.9,112.6,117.3,136.8,41.8,79.0,100.8,2062.2,AU
14,2010–11,3.9,1.6,1.0,1.3,364.9,347.5,17.1,30.0,23.5,6.4,9.3,18.4,20.7,78.4,335.0,26.0,284.1,20.7,46.8,34.8,2.2,1.1,8.2,303.5,34.9,32.1,201.8,45.6,103.1,381.8,145.1,111.1,125.2,122.9,43.2,68.2,114.7,2005.1,AU
15,2011–12,3.4,1.3,0.9,1.2,348.6,330.8,17.6,30.6,23.4,7.3,9.7,17.8,18.4,70.9,328.8,25.1,279.4,20.7,44.2,32.8,2.1,0.7,8.3,309.2,37.3,30.0,204.9,49.1,93.6,353.5,139.4,103.5,110.4,116.7,42.7,64.9,124.2,1945.3,AU
16,2012–13,3.6,1.5,0.9,1.3,352.3,332.4,19.6,30.9,22.4,8.5,9.5,18.9,18.2,63.6,313.0,23.5,265.8,20.5,50.7,39.5,2.1,0.5,8.2,327.1,39.4,29.4,217.5,52.7,90.1,370.2,136.1,114.4,119.5,121.6,46.1,65.7,147.4,1990.7,AU
17,2013–14,3.3,1.3,0.8,1.2,352.0,330.7,21.3,35.8,25.5,10.3,10.2,19.6,16.4,61.5,236.2,21.7,191.1,20.5,58.9,47.4,2.1,0.6,8.5,361.3,43.1,32.3,236.6,51.8,86.0,379.8,137.9,122.2,119.7,125.8,50.2,65.5,110.7,2020.7,AU
18,2014–15,3.5,1.5,0.8,1.1,353.5,330.5,22.9,37.1,26.5,10.6,10.4,22.3,15.4,57.1,191.6,22.1,146.6,20.8,60.8,49.2,2.4,0.8,8.0,394.5,50.1,30.5,261.6,57.7,79.7,340.2,135.1,103.5,101.5,125.3,54.4,59.7,106.7,2011.2,AU
19,2015–16,3.4,1.3,0.9,1.2,365.1,340.1,25.0,37.8,26.5,11.4,10.8,23.3,15.3,58.9,201.5,22.9,154.9,21.5,53.8,42.3,2.4,0.7,8.1,398.7,52.8,27.6,264.9,58.9,78.6,306.7,128.9,90.4,87.4,130.2,62.5,55.7,93.7,2004.5,AU
20,2016–17,3.1,1.2,0.8,1.2,369.3,343.6,25.7,38.2,27.5,10.7,11.6,23.3,16.0,58.2,198.8,22.9,153.2,20.7,52.3,41.1,2.6,0.6,7.3,382.2,51.3,23.9,257.4,57.1,76.6,288.2,125.3,83.9,79.1,122.7,65.4,47.4,74.1,1949.0,AU
21,2017–18,3.2,1.1,0.6,1.4,362.5,336.3,26.3,39.5,27.9,11.6,9.9,18.3,16.0,56.4,192.0,22.2,147.7,20.3,56.2,40.8,3.8,0.4,10.8,360.1,46.7,23.7,242.7,67.0,72.8,283.5,129.5,83.4,70.7,125.2,66.7,45.7,74.8,1883.1,AU
22,2018–19,3.4,1.5,0.7,1.2,357.2,329.2,28.0,39.2,27.4,11.8,9.1,17.9,17.1,55.7,187.6,23.0,138.5,19.3,54.5,41.3,2.6,0.5,9.7,350.6,45.0,23.8,237.3,69.7,66.5,243.6,112.2,70.0,60.3,124.9,66.5,43.5,68.4,1794.3,AU
