,Homicide and related offences,Acts intended to cause injury,Sexual assault and related offences,Dangerous or negligent acts endangering persons,"Abduction, harassment and other offences against the person","Robbery, extortion and related offences",Unlawful entry with intent,Theft and related offences,"Fraud, deception and related offences",Illicit drug offences,Prohibited and regulated weapons and explosives offences,Property damage and environmental pollution,Public order offences,Traffic and vehicle regulatory offences,"Offences against justice procedures, gov't security and operations",Miscellaneous offences,Total,country
2010,2811.0,5803.0,3709.0,688.0,333.0,2879.0,3374.0,1272.0,843.0,3233.0,219.0,316.0,202.0,1172.0,2656.0,154.0,29700.0,AU
2011,2831.0,5595.0,3666.0,661.0,325.0,2797.0,3244.0,1120.0,747.0,3294.0,204.0,373.0,203.0,961.0,2920.0,153.0,29107.0,AU
2012,2837.0,5777.0,3577.0,734.0,355.0,2922.0,3357.0,1186.0,765.0,3409.0,258.0,395.0,192.0,880.0,2644.0,91.0,29380.0,AU
2013,2833.0,6251.0,3517.0,764.0,404.0,3000.0,3613.0,1230.0,737.0,3630.0,305.0,390.0,194.0,785.0,2969.0,75.0,30773.0,AU
2014,2876.0,7072.0,3694.0,926.0,434.0,3158.0,3970.0,1379.0,771.0,4032.0,409.0,449.0,232.0,813.0,3420.0,86.0,33789.0,AU
2015,3000.0,7651.0,4069.0,1065.0,482.0,3238.0,4055.0,1479.0,871.0,4731.0,476.0,466.0,221.0,826.0,3330.0,91.0,36134.0,AU
2016,3042.0,8364.0,4386.0,1197.0,592.0,3152.0,4360.0,1737.0,960.0,5236.0,562.0,542.0,227.0,828.0,3445.0,106.0,38845.0,AU
2017,3110.0,9344.0,4785.0,1559.0,640.0,3086.0,4302.0,1605.0,978.0,6155.0,613.0,503.0,226.0,778.0,3318.0,91.0,41202.0,AU
2018,3168.0,9659.0,5283.0,1770.0,550.0,3240.0,4378.0,1548.0,964.0,6779.0,823.0,594.0,257.0,706.0,3066.0,77.0,42974.0,AU
2019,3258.0,9824.0,5671.0,1712.0,589.0,3097.0,4164.0,1559.0,942.0,6573.0,845.0,587.0,210.0,572.0,3243.0,86.0,43028.0,AU
