,Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Africa,Northern Africa,Algeria,ATS (excluding ecstasy),Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.035,,,,,,
1,,,,,Non-specified ATS,,,,,,,,,,,,,,,9.129,,10.80275,,,,,,,,,,,,,,,,,,,159.49025,268.1065,300.448,451.96075
2,,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,0.00300000002607703,,,0.00300000002607703,,,,,,0.288,0.268,9.508,0.1519,0.07,7.7727,22.0005,0.716418,1.02636,,,,,,,,,
3,,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17772,10.901023,182.8567,3.790487,1.245626,88.287395,59.09941,6.279407,671.887093
4,,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05392,0.067,0.04282,,0.0057,,,,0.0483,0.023,0.6312,0.0003
5,,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.919656,
6,,,,Hashish (resin),Hashish (resin),,134.0,566.0,578.0,2150.0,346.641998291016,598.142028808594,,,,,1832.17895507813,,1022.67401123047,1169.40795898438,1920.60900878906,712.159973144531,,1217.17895507813,4080.662,1694.127,1728.258,2148.379,8068.302,12373.085880003691,1680.0,10046.113,16595.436,38037.297,74643.377,23041.597,53323.093,157382.643,211512.773,181942.901,126685.774,109089.13,52609.907,31936.386
7,,,,Heroine and Morphine,Heroin,,0.400000005960464,,,,,,,,,,18.3530006408691,,0.0280000008642673,1.62600004673004,0.104999996721745,0.222000002861023,,0.256000012159348,0.002,,0.006,0.024,1.454,0.027099999993294478,0.01,0.0253,0.38179,0.10957,0.708359,0.19105,2.49665,6.073659,0.868299,0.33911,2.573754,1.403823,2.120965,4.32422
8,,,,,Illicit morphine,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0122,0.0122,,,,,0.0,,,,,,
9,,,,Marijuana (herb),Marijuana (herb),240.0,14.0,1.0,,,,,1208.37097167969,,3256.43896484375,2266.0,101.335998535156,6941.0,397.002014160156,39.3549995422363,1475.251953125,0.0359999984502792,,58.2999992370605,,,,,1.797,6.959,,0.527,45.04,3.216,1.44,0.104,,,,,,,28.841,1.146
10,,,,Opium,Opium,,,,,,,,,,,,,0.652999997138977,0.136999994516373,0.358000010251999,0.00800000037997961,,,,,,,,,3.0330000006556515,,,0.0471,15.0223,0.2,0.079,0.8501,0.013,0.5,41.325,0.014,0.55438,,0.37124
11,,,,Other drugs,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
12,,,,,Cannabis oil,,,,,,,,,,,,,,,0.090999998152256,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,Cannabis plants,,557.1,52.4,,,1419.61096191406,57.5,0.3,1335.69995117188,,,,,,,,,,,,,,,336.1,12.2,,75.7,2098.7,1071.2,180.2,316.3,101.9,8.8,483.1,252.2,57.2,50.7,370.7,115.9
14,,,,,Cannabis seed,,,,,,0.300000011920929,,,,,,,,,,,,,0.930000007152557,,,,,,,,,,,,4.883,39.924,0.1274,0.0363,9.1715,0.309,0.6425,1.1135,2.42429
