,country_code,gdp
0,AF,-5
1,AL,-7.5
2,DZ,-5.5
3,AS,Nan
4,AD,Nan
5,AO,-4
6,AI,Nan
7,AG,-17.3
8,AR,-11.8
9,AM,-4.5
10,AW,-19.7
11,AU,-4.2
12,AT,-6.7
13,AZ,-4
14,BS,-14.8
15,BH,-4.9
16,BD,3.8
17,BB,-11.6
18,BY,-3
19,BE,-8.3
20,BZ,-16
21,BJ,2
22,BM,Nan
23,BT,0.6
24,BO,-7.9
25,BQ,Nan
26,BA,-6.5
27,BW,-9.6
28,BR,-5.8
29,VG,Nan
30,BN,0.1
31,BG,-4
32,BF,-2
33,BI,-3.2
34,,-6.8
35,KH,-2.8
36,CM,-2.8
37,CA,-7.1
38,KY,Nan
39,CF,-1
40,TD,-0.7
41,GB,Nan
42,CL,-6
43,CN,1.9
44,CO,-8.2
45,KM,-1.8
46,,-2.2
47,CG,-7
48,CK,Nan
49,CR,-5.5
50,CI,1.8
51,HR,-9
52,CU,Nan
53,CW,Nan
54,CY,-6.4
55,CZ,-6.5
56,DK,-4.5
57,DJ,-1
58,DM,-8.8
59,DO,-6
60,EC,-11
61,EG,3.5
62,SV,-9
63,GQ,-6
64,ER,-0.6
65,EE,-5.2
66,SZW,-3.5
67,ET,1.9
68,,Nan
69,FK,Nan
70,FJ,-21
71,FI,-4
72,FR,-9.8
73,GF,Nan
74,PF,Nan
75,GA,-2.7
76,GM,-1.8
77,GE,-5
78,DE,-6
79,GH,0.9
80,GI,Nan
81,GR,-9.5
82,GL,Nan
83,GD,-11.8
84,GP,Nan
85,GU,Nan
86,GT,-2
87,GN,1.4
88,GW,-2.9
89,GY,26.2
90,HT,-4
91,,Nan
92,HN,-6.6
93,HK,-7.5
94,HU,-6.1
95,IS,-7.2
96,IN,-10.3
97,ID,-1.5
98,IR,-5
99,IQ,-12.1
100,IE,-3
101,IM,Nan
102,IL,-5.9
103,IT,-10.6
104,JM,-8.6
105,JP,-5.3
106,JO,-5
107,KZ,-2.7
108,KE,1
109,KI,-1.1
110,,Nan
111,,-1.9
112,KW,-8.1
113,,-12
114,LA,0.2
115,LV,-6
116,LB,-25
117,LS,-4.8
118,LR,-3
119,LY,-66.7
120,LI,Nan
121,LT,-1.8
122,LU,-5.8
123,MO,-52.3
124,MG,-3.2
125,MW,0.6
126,MY,-6
127,MV,-18.6
128,ML,-2
129,MT,-7.9
130,MH,-4.5
131,MQ,Nan
132,MR,-3.2
133,MU,-14.2
134,YT,Nan
135,MX,-9
136,FM,-3.8
137,MD,-4.5
138,MC,Nan
139,MN,-2
140,ME,-12
141,MS,Nan
142,MA,-7
143,MZ,-0.5
144,MM,2
145,NA,-5.9
146,NR,0.7
147,NP,0
148,AN,-5.4
149,NC,Nan
150,NZ,-6.1
151,NI,-5.5
152,NE,0.5
153,NG,-4.3
154,NU,Nan
155,MK,-5.4
156,MP,Nan
157,NO,-2.8
158,OM,-10
159,PK,-0.4
160,PW,-11.4
161,PA,-9
162,PG,-3.3
163,PY,-4
164,PE,-13.9
165,PH,-8.3
166,,Nan
167,PL,-3.6
168,PT,-10
169,PR,-7.5
170,QA,-4.5
171,RE,Nan
172,RO,-4.8
173,,-4.1
174,RW,2
175,SH,Nan
176,KN,-18.7
177,LC,-16.9
178,,Nan
179,VC,-7
180,PM,Nan
181,WS,-5
182,SM,-11
183,ST,-6.5
184,SA,-5.4
185,SN,-0.7
186,RS,-2.5
187,SC,-13.8
188,SL,-3.1
189,SG,-6
190,SX,Nan
191,,-7.1
192,SI,-6.7
193,SB,-5
194,SO,-1.5
195,ZA,-8
196,SS,4.1
197,ES,-12.8
198,LK,-4.6
199,SD,-8.4
200,SR,-13.1
202,,-4.7
203,,-5.3
204,,Nan
205,,0
206,,1
207,,1.9
208,,-7.1
209,,-6.8
210,,0
211,,Nan
212,,-2.5
213,,-5.6
214,,-7
215,,-5
216,,1.8
217,,Nan
218,,-0.5
219,,-0.3
220,,-7.2
221,,-6.6
222,,-9.8
223,,-4.3
224,,Nan
225,,-4.5
226,,0.7
227,,-8.3
228,,-25
229,,1.6
230,,Nan
231,,-12
232,,Nan
233,,-5
234,,-4.8
235,,-10.4
236,,-2.6
237,,-2.3
238,,-4.4
239,,-5.4
240,,-5.9
241,,-4.1
242,,0.3
243,,-4.6
244,,-7.2
245,,-6.6
246,,-1.3
247,,-4.9
248,,-7.1
249,,-8.1
250,,-8.4
251,,-3.3
252,,-3.3
253,,-8.2
254,,-5.6
255,,-5.8
256,,-3.4
257,,-1.7
258,,-4.6
259,,-3.3
260,,-8.3
261,,-7.6
262,,-8.1
263,,-5.9
264,,-4.1
265,,-3.8
266,,-3
267,,-4.4
