,country_code,population,density,size,fert_rate,med_age,urban_pop (%),wordl_pop (%)
0,CN,1439323776,9388211,9388211,1.7,9388211,61.0,18.47
1,IN,1380004385,2973190,2973190,2.2,2973190,35.0,17.7
2,US,331002651,9147420,9147420,1.8,9147420,83.0,4.25
3,ID,273523615,1811570,1811570,2.3,1811570,56.0,3.51
4,PK,220892340,770880,770880,3.6,770880,35.0,2.83
5,BR,212559417,8358140,8358140,1.7,8358140,88.0,2.73
6,NG,206139589,910770,910770,5.4,910770,52.0,2.64
7,BD,164689383,130170,130170,2.1,130170,39.0,2.11
8,RU,145934462,16376870,16376870,1.8,16376870,74.0,1.87
9,MX,128932753,1943950,1943950,2.1,1943950,84.0,1.65
10,JP,126476461,364555,364555,1.4,364555,92.0,1.62
11,ET,114963588,1000000,1000000,4.3,1000000,21.0,1.47
12,PH,109581078,298170,298170,2.6,298170,47.0,1.41
13,EG,102334404,995450,995450,3.3,995450,43.0,1.31
14,VN,97338579,310070,310070,2.1,310070,38.0,1.25
15,CD,89561403,2267050,2267050,6.0,2267050,46.0,1.15
16,TR,84339067,769630,769630,2.1,769630,76.0,1.08
17,IR,83992949,1628550,1628550,2.2,1628550,76.0,1.08
18,DE,83783942,348560,348560,1.6,348560,76.0,1.07
19,TH,69799978,510890,510890,1.5,510890,51.0,0.9
20,GB,67886011,241930,241930,1.8,241930,83.0,0.87
21,FR,65273511,547557,547557,1.9,547557,82.0,0.84
22,IT,60461826,294140,294140,1.3,294140,69.0,0.78
23,TZ,59734218,885800,885800,4.9,885800,37.0,0.77
24,ZA,59308690,1213090,1213090,2.4,1213090,67.0,0.76
25,MM,54409800,653290,653290,2.2,653290,31.0,0.7
26,KE,53771296,569140,569140,3.5,569140,28.0,0.69
27,KR,51269185,97230,97230,1.1,97230,82.0,0.66
28,CO,50882891,1109500,1109500,1.8,1109500,80.0,0.65
29,ES,46754778,498800,498800,1.3,498800,80.0,0.6
30,UG,45741007,199810,199810,5.0,199810,26.0,0.59
31,AR,45195774,2736690,2736690,2.3,2736690,93.0,0.58
32,DZ,43851044,2381740,2381740,3.1,2381740,73.0,0.56
33,SD,43849260,1765048,1765048,4.4,1765048,35.0,0.56
34,UA,43733762,579320,579320,1.4,579320,69.0,0.56
35,IQ,40222493,434320,434320,3.7,434320,73.0,0.52
36,AF,38928346,652860,652860,4.6,652860,25.0,0.5
37,PL,37846611,306230,306230,1.4,306230,60.0,0.49
38,CA,37742154,9093510,9093510,1.5,9093510,81.0,0.48
39,MA,36910560,446300,446300,2.4,446300,64.0,0.47
40,SA,34813871,2149690,2149690,2.3,2149690,84.0,0.45
41,UZ,33469203,425400,425400,2.4,425400,50.0,0.43
42,PE,32971854,1280000,1280000,2.3,1280000,79.0,0.42
43,AO,32866272,1246700,1246700,5.6,1246700,67.0,0.42
44,MY,32365999,328550,328550,2.0,328550,78.0,0.42
45,MZ,31255435,786380,786380,4.9,786380,38.0,0.4
46,GH,31072940,227540,227540,3.9,227540,57.0,0.4
47,YE,29825964,527970,527970,3.8,527970,38.0,0.38
