,country_code,prison_pop,prison_rate,pre_trial_detainees,women_percent,minors_percent,foreigns_percent,number_institution,capacity,occupancy
0,AF,30748,87,31.3,2.6,4.0,0.9,251,16711,179.9
1,AL,4508,159,45.7,1.9,0.2,1.5,23,6236,85.0
2,DZ,65000,153,12.0,1.5,0.8,3.8,131,68317,89.3
3,AS,193,345,14.9,5.5,0.0,62.2,1,142,166.2
4,AD,43,55,42.2,11.1,0.0,88.5,1,142,30.3
5,AO,24000,93,45.8,3.6,0.0,0.0,40,21800,110.8
6,AI,55,367,45.5,0.0,1.8,29.1,2,60,91.7
7,AG,287,302,37.0,4.8,0.9,30.6,1,150,191.3
8,AR,103209,230,45.9,4.8,0.1,6.5,308,77678,122.1
9,AM,2197,74,37.1,3.5,0.2,4.1,12,5346,41.1
10,AW,170,165,16.6,3.5,1.8,48.1,1,310,68.4
11,AU,41180,160,33.0,7.7,0.0,17.1,111,36730,112.2
12,AT,8471,95,21.0,6.6,1.7,53.2,27,8855,95.7
13,AZ,21008,208,15.1,2.9,0.3,1.9,53,25400,82.7
14,BS,1778,442,42.0,3.1,0.0,0.0,1,1000,177.8
15,BH,3485,234,25.7,4.7,3.4,23.7,4,3455,110.2
16,BD,88084,52,81.3,4.1,0.7,0.8,68,40944,215.1
17,BB,874,300,56.2,2.6,5.9,13.8,1,1250,70.7
18,BY,32500,343,15.4,10.5,0.8,3.1,67,35720,83.4
19,BE,10883,95,35.6,4.4,0.6,44.2,35,9021,120.6
20,BZ,1297,356,30.1,3.5,3.1,11.1,1,1750,87.3
21,BJ,8502,70,75.8,5.0,2.1,0.0,11,5620,151.3
22,BM,226,342,9.6,5.7,0.0,11.5,4,375,59.7
23,BT,1119,145,0.0,4.3,3.4,6.8,7,0,0.0
24,BO,19161,164,67.2,8.0,14.0,3.3,51,5000,363.9
25,BA,1813,83,19.8,3.2,0.5,3.6,7,1844,102.1
26,BW,4343,208,24.5,4.7,10.4,31.6,23,4337,100.9
27,BR,755274,357,30.4,4.9,0.0,0.3,2608,442349,170.7
28,BN,1365,307,7.1,11.9,0.4,29.2,3,400,141.3
29,BG,7553,109,19.1,3.0,0.8,3.0,55,9341,80.9
30,BF,7621,37,40.5,2.0,1.7,4.1,27,4698,156.6
